Sample_ID,Species,Salinity,DO (mgL),WaterTemp (C),Month,Year
SC_001-12_rep,Carolina,NA,NA,NA,8,2012
SC_002-12,Carolina,NA,NA,NA,8,2012
SC_003-12,Carolina,NA,NA,NA,8,2012
SC_004-12,Scalloped,30,6.9,27,8,2012
SC_005-12,Scalloped,30,6.9,27,8,2012
SC_006-12,Carolina,NA,NA,NA,8,2012
SC_007-12_rep,Carolina,30,6.9,27,8,2012
SC_008-12,Carolina,30,6.9,27,8,2012
SC_009-12,Carolina,30,6.9,27,8,2012
SC_010-12,Carolina,30,6.9,27,8,2012
SC_011-12,Carolina,30,6.9,27,8,2012
SC_013-12,Carolina,30,6.9,27,8,2012
SC_014-12,Carolina,30,6.9,27,8,2012
SC_015-12,Carolina,30,6.9,27,8,2012
SC_016-12,Scalloped,30,6.9,27,8,2012
SC_018-12,Carolina,30,6.9,27,8,2012
SC_019-12,Carolina,30,6.9,27,8,2012
SC_020-12,Carolina,30,6.9,27,8,2012
SC_021-12,Carolina,NA,NA,NA,8,2012
SC_022-12,Carolina,NA,NA,NA,8,2012
SC_023-12,Carolina,NA,NA,NA,8,2012
SC_024-12,Carolina,NA,NA,NA,8,2012
SC_025-12,Carolina,NA,NA,NA,8,2012
SC_027-12,Carolina,30.7,6,24.8,9,2012
SC_028-12,Scalloped,30.7,6,24.8,9,2012
SC_029-12,Carolina,30.7,6,24.8,9,2012
SC_030-13,Carolina,30.4,6.8,24,5,2013
SC_031-13,Scalloped,30.4,6.8,24,5,2013
SC_033-13,Carolina,30.4,6.8,24,5,2013
SC_034-13,Scalloped,26.9,6.1,27.7,6,2013
SC_035-13,Scalloped,28.7,5.9,26.6,6,2013
SC_036-13,Scalloped,28.7,5.9,26.6,6,2013
SC_037-13,Scalloped,28.7,5.9,26.6,6,2013
SC_038-13,Scalloped,28.7,5.9,26.6,6,2013
SC_040-13,Scalloped,28.7,5.9,26.6,6,2013
SC_041-13,Scalloped,28.7,5.9,26.6,6,2013
SC_042-13,Scalloped,28.7,5.9,26.6,6,2013
SC_044-13,Carolina,28.7,5.9,26.6,6,2013
SC_045-13,Carolina,28.7,5.9,26.6,6,2013
SC_046-13,Scalloped,28.7,5.9,26.6,6,2013
SC_047-13,Scalloped,28.7,5.9,26.6,6,2013
SC_048-13,Scalloped,28.7,5.9,26.6,6,2013
SC_049-13,Scalloped,28.7,5.9,26.6,6,2013
SC_050-13,Carolina,28.7,5.9,26.6,6,2013
SC_052-13,Carolina,28.7,5.9,26.6,6,2013
SC_053-13,Scalloped,28.7,5.9,26.6,6,2013
SC_054-13,Scalloped,26.5,6.3,27.5,6,2013
SC_056-13,Scalloped,27.8,6.2,29,7,2013
SC_058-13,Scalloped,27.8,6.2,29,7,2013
SC_059-13,Carolina,27.8,6.2,29,7,2013
SC_060-13,Carolina,27.8,6.2,29,7,2013
SC_061-13,Scalloped,27.8,6.2,29,7,2013
SC_062-13,Scalloped,27.8,6.2,29,7,2013
SC_065-13,Scalloped,27.8,6.2,29,7,2013
