**IMPORTANT**: If running this datafile, delete this line and replace sample names with integers 1-40.
NumIndivs 40
NumLoci 200
Digits 1
Format Lumped
LocusName dDocent_Contig_364_66 dDocent_Contig_731_32 dDocent_Contig_1162_239 dDocent_Contig_1379_174 dDocent_Contig_1517_24 dDocent_Contig_1527_101 dDocent_Contig_1646_14 dDocent_Contig_1899_30 dDocent_Contig_2121_73 dDocent_Contig_2173_48 dDocent_Contig_2333_203 dDocent_Contig_2376_61 dDocent_Contig_2381_20 dDocent_Contig_2501_170 dDocent_Contig_2547_93 dDocent_Contig_2571_32 dDocent_Contig_2604_244 dDocent_Contig_2804_165 dDocent_Contig_2991_49 dDocent_Contig_3404_58 dDocent_Contig_3595_183 dDocent_Contig_3926_12 dDocent_Contig_4087_46 dDocent_Contig_4157_194 dDocent_Contig_4181_191 dDocent_Contig_4266_73 dDocent_Contig_4323_20 dDocent_Contig_4467_23 dDocent_Contig_4481_50 dDocent_Contig_4624_24 dDocent_Contig_4693_8 dDocent_Contig_4723_55 dDocent_Contig_4727_193 dDocent_Contig_4825_45 dDocent_Contig_5607_182 dDocent_Contig_5802_63 dDocent_Contig_5865_42 dDocent_Contig_5868_32 dDocent_Contig_6000_21 dDocent_Contig_6023_42 dDocent_Contig_6116_181 dDocent_Contig_6515_71 dDocent_Contig_7199_23 dDocent_Contig_7214_11 dDocent_Contig_7256_58 dDocent_Contig_7274_86 dDocent_Contig_7298_24 dDocent_Contig_7339_32 dDocent_Contig_7385_102 dDocent_Contig_7479_28 dDocent_Contig_7662_32 dDocent_Contig_7712_14 dDocent_Contig_7760_25 dDocent_Contig_7787_40 dDocent_Contig_7931_46 dDocent_Contig_8013_44 dDocent_Contig_8026_169 dDocent_Contig_8085_31 dDocent_Contig_8298_17 dDocent_Contig_8445_225 dDocent_Contig_8497_28 dDocent_Contig_8642_85 dDocent_Contig_8699_216 dDocent_Contig_8754_16 dDocent_Contig_9175_153 dDocent_Contig_9225_44 dDocent_Contig_9258_158 dDocent_Contig_9462_166 dDocent_Contig_9631_38 dDocent_Contig_9906_42 dDocent_Contig_9910_179 dDocent_Contig_9986_152 dDocent_Contig_10146_42 dDocent_Contig_10344_32 dDocent_Contig_10480_72 dDocent_Contig_10491_63 dDocent_Contig_10591_181 dDocent_Contig_10658_34 dDocent_Contig_10802_29 dDocent_Contig_10829_12 dDocent_Contig_11022_20 dDocent_Contig_11115_33 dDocent_Contig_11193_61 dDocent_Contig_11513_54 dDocent_Contig_11601_14 dDocent_Contig_11623_168 dDocent_Contig_11728_33 dDocent_Contig_11834_13 dDocent_Contig_11945_22 dDocent_Contig_12077_64 dDocent_Contig_12135_8 dDocent_Contig_12428_42 dDocent_Contig_12594_29 dDocent_Contig_12714_13 dDocent_Contig_12723_151 dDocent_Contig_12924_162 dDocent_Contig_13041_169 dDocent_Contig_13334_39 dDocent_Contig_13610_66 dDocent_Contig_13737_16 dDocent_Contig_13894_109 dDocent_Contig_14040_69 dDocent_Contig_14113_157 dDocent_Contig_14237_15 dDocent_Contig_14290_29 dDocent_Contig_14519_26 dDocent_Contig_14524_37 dDocent_Contig_14634_20 dDocent_Contig_14801_23 dDocent_Contig_14876_42 dDocent_Contig_14883_171 dDocent_Contig_15119_109 dDocent_Contig_15149_193 dDocent_Contig_15346_73 dDocent_Contig_15427_152 dDocent_Contig_15604_39 dDocent_Contig_15640_33 dDocent_Contig_15707_47 dDocent_Contig_15739_94 dDocent_Contig_15769_50 dDocent_Contig_15854_172 dDocent_Contig_16008_25 dDocent_Contig_16064_203 dDocent_Contig_16108_32 dDocent_Contig_16252_147 dDocent_Contig_16444_20 dDocent_Contig_16635_13 dDocent_Contig_16637_189 dDocent_Contig_16717_30 dDocent_Contig_16774_54 dDocent_Contig_16869_32 dDocent_Contig_16968_26 dDocent_Contig_17163_8 dDocent_Contig_17378_35 dDocent_Contig_17614_13 dDocent_Contig_17744_79 dDocent_Contig_17828_17 dDocent_Contig_17897_9 dDocent_Contig_18390_29 dDocent_Contig_18410_23 dDocent_Contig_18569_205 dDocent_Contig_18577_163 dDocent_Contig_18780_177 dDocent_Contig_18834_27 dDocent_Contig_18901_36 dDocent_Contig_18952_13 dDocent_Contig_18969_7 dDocent_Contig_19110_10 dDocent_Contig_19145_9 dDocent_Contig_19173_10 dDocent_Contig_19328_156 dDocent_Contig_19944_14 dDocent_Contig_19977_163 dDocent_Contig_20021_55 dDocent_Contig_20076_181 dDocent_Contig_20142_13 dDocent_Contig_20788_54 dDocent_Contig_20920_34 dDocent_Contig_21066_22 dDocent_Contig_21513_34 dDocent_Contig_21611_19 dDocent_Contig_22039_19 dDocent_Contig_22439_177 dDocent_Contig_22488_7 dDocent_Contig_22596_30 dDocent_Contig_22838_72 dDocent_Contig_22984_16 dDocent_Contig_23005_217 dDocent_Contig_23088_7 dDocent_Contig_23182_9 dDocent_Contig_23244_70 dDocent_Contig_23250_51 dDocent_Contig_23370_36 dDocent_Contig_23836_43 dDocent_Contig_23890_75 dDocent_Contig_24041_14 dDocent_Contig_24131_168 dDocent_Contig_24628_149 dDocent_Contig_24817_53 dDocent_Contig_24858_17 dDocent_Contig_24922_20 dDocent_Contig_25126_148 dDocent_Contig_25403_17 dDocent_Contig_25649_40 dDocent_Contig_25660_167 dDocent_Contig_25709_97 dDocent_Contig_25800_46 dDocent_Contig_25840_91 dDocent_Contig_26234_22 dDocent_Contig_26365_53 dDocent_Contig_26419_42 dDocent_Contig_26452_20 dDocent_Contig_27157_14 dDocent_Contig_27266_115 dDocent_Contig_27320_159 dDocent_Contig_27519_60 dDocent_Contig_27587_161 dDocent_Contig_27683_223 dDocent_Contig_28247_47 dDocent_Contig_28598_18
CC_229-16 11 11 11 11 11 11 11 11 11 11 22 11 11 22 11 11 11 22 22 22 22 11 11 11 11 11 11 11 11 22 11 22 11 22 11 11 11 22 11 11 11 22 11 11 11 22 22 11 22 11 22 22 11 11 11 11 11 11 11 22 11 11 22 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 22 11 11 22 11 11 22 11 11 11 11 11 22 11 11 11 22 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 22 11 22 11 11 11 11 22 22 11 11 11 11 22 11 11 11 22 22 11 11 11 11
CC_230-16 11 11 11 11 11 11 11 11 11 11 22 11 11 22 11 11 11 22 22 22 22 11 11 11 11 11 11 11 11 22 11 22 11 22 11 11 11 22 11 11 11 22 11 11 11 22 22 11 22 11 22 22 11 11 11 11 11 11 11 22 11 11 22 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 22 11 11 22 11 11 22 11 11 11 11 11 22 11 11 11 22 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 22 11 22 11 11 11 11 22 22 11 11 11 11 22 11 11 11 22 22 11 11 11 11
CC_233-16 11 11 11 11 11 11 11 11 11 11 22 11 11 22 11 11 11 22 22 22 22 11 11 11 11 11 11 11 11 22 11 22 11 22 11 11 11 22 11 11 11 22 11 11 11 22 22 11 22 11 22 22 11 11 11 11 11 11 11 22 11 11 22 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 22 11 11 22 11 11 22 11 11 11 11 11 22 11 11 11 22 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 22 11 22 11 11 11 11 22 22 11 11 11 11 22 11 11 11 22 22 11 11 11 11
CC_234-16 11 11 11 11 11 11 11 11 11 11 22 11 11 22 11 11 11 22 22 22 22 11 11 11 11 11 11 11 11 22 11 22 11 22 11 11 11 22 11 11 11 22 11 11 11 22 22 11 22 11 22 22 11 11 11 11 11 11 11 22 11 11 22 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 22 11 11 22 11 11 22 11 11 11 11 11 22 11 11 11 22 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 22 11 22 11 11 11 11 22 22 11 11 11 11 22 11 11 11 22 22 11 11 11 11
GA_058-17 11 11 11 11 11 11 11 11 11 11 22 11 11 22 11 11 11 22 22 22 22 11 11 11 11 11 11 11 11 22 11 22 11 22 11 11 11 22 11 11 11 22 11 11 11 22 22 11 22 11 22 22 11 11 11 11 11 11 11 22 11 11 22 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 22 11 11 22 11 11 22 11 11 11 11 11 22 11 11 11 22 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 22 11 22 11 11 11 11 22 22 11 11 11 11 22 11 11 11 22 22 11 11 11 11
GA_070-17 11 11 11 11 11 11 11 11 11 11 22 11 11 22 11 11 11 22 22 22 22 11 11 11 11 11 11 11 11 22 11 22 11 22 11 11 11 22 11 11 11 22 11 11 11 22 22 11 22 11 22 22 11 11 11 11 11 11 11 22 11 11 22 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 22 11 11 22 11 11 22 11 11 11 11 11 22 11 11 11 22 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 22 11 22 11 11 11 11 22 22 11 11 11 11 22 11 11 11 22 22 11 11 11 11
GA_074-17 11 11 11 11 11 11 11 11 11 11 22 11 11 22 11 11 11 22 22 22 22 11 11 11 11 11 11 11 11 22 11 22 11 22 11 11 11 22 11 11 11 22 11 11 11 22 22 11 22 11 22 22 11 11 11 11 11 11 11 22 11 11 22 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 22 11 11 22 11 11 22 11 11 11 11 11 22 11 11 11 22 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 22 11 22 11 11 11 11 22 22 11 11 11 11 22 11 11 11 22 22 11 11 11 11
GA_078-17 11 11 11 11 11 11 11 11 11 11 22 11 11 22 11 11 11 22 22 22 22 11 11 11 11 11 11 11 11 22 11 22 11 22 11 11 11 22 11 11 11 22 11 11 11 22 22 11 22 11 22 22 11 11 11 11 11 11 11 22 11 11 22 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 22 11 11 22 11 11 22 11 11 11 11 11 22 11 11 11 22 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 22 11 22 11 11 11 11 22 22 11 11 11 11 22 11 11 11 22 22 11 11 11 11
GA_079-17 11 11 11 11 11 11 11 11 11 11 22 11 11 22 11 11 11 22 22 22 22 11 11 11 11 11 11 11 11 22 11 22 11 22 11 11 11 22 11 11 11 22 11 11 11 22 22 11 22 11 22 22 11 11 11 11 11 11 11 22 11 11 22 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 22 11 11 22 11 11 22 11 11 11 11 11 22 11 11 11 22 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 22 11 22 11 11 11 11 22 22 11 11 11 11 22 11 11 11 22 22 11 11 11 11
GA_080-17 11 11 11 11 11 11 11 11 11 11 22 11 11 22 11 11 11 22 22 22 22 11 11 11 11 11 11 11 11 22 11 22 11 22 11 11 11 22 11 11 11 22 11 11 11 22 22 11 22 11 22 22 11 11 11 11 11 11 11 22 11 11 22 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 22 11 11 22 11 11 22 11 11 11 11 11 22 11 11 11 22 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 22 11 11 11 11 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 11 11 11 11 22 11 22 11 11 11 22 11 22 11 11 11 11 22 22 11 11 11 11 22 11 11 11 22 22 11 11 11 11
